x,y,z
-1.049934509277343722e+02,9.394513702392579546e+00,-7.155589580535888672e+00
-1.048934509277343778e+02,9.494513702392580967e+00,-7.153025627136230469e+00
-1.047934509277343693e+02,9.594513702392578836e+00,-7.150712013244628906e+00
-1.046934509277343750e+02,9.694513702392580257e+00,-7.148265361785888672e+00
-1.045934509277343807e+02,9.794513702392578125e+00,-7.148066043853759766e+00
-1.044934509277343722e+02,9.894513702392579546e+00,-7.145958900451660156e+00
-1.043934509277343778e+02,9.994513702392580967e+00,-7.145523071289062500e+00
-1.042934509277343693e+02,1.009451370239257884e+01,-7.143655776977539062e+00
-1.041934509277343750e+02,1.019451370239258026e+01,-7.140428543090820312e+00
-1.040934509277343807e+02,1.029451370239257812e+01,-7.138478279113769531e+00
-1.039934509277343722e+02,1.039451370239257955e+01,-7.133895874023437500e+00
-1.038934509277343778e+02,1.049451370239258097e+01,-7.132193565368652344e+00
-1.037934509277343693e+02,1.059451370239257884e+01,-7.130645751953125000e+00
-1.036934509277343750e+02,1.069451370239258026e+01,-7.129001617431640625e+00
-1.035934509277343807e+02,1.079451370239257812e+01,-7.127533912658691406e+00
-1.034934509277343722e+02,1.089451370239257955e+01,-7.125813484191894531e+00
-1.033934509277343778e+02,1.099451370239258097e+01,-7.123773097991943359e+00
-1.032934509277343693e+02,1.109451370239257884e+01,-7.121908187866210938e+00
-1.031934509277343750e+02,1.119451370239258026e+01,-7.120562076568603516e+00
-1.030934509277343807e+02,1.129451370239257812e+01,-7.120072364807128906e+00
-1.030934509277343807e+02,1.139451370239257955e+01,-7.119626522064208984e+00
-1.030934509277343807e+02,1.149451370239258097e+01,-7.120010375976562500e+00
-1.030934509277343807e+02,1.159451370239257884e+01,-7.120513916015625000e+00
-1.030934509277343807e+02,1.169451370239258026e+01,-7.120847225189208984e+00
-1.030934509277343807e+02,1.179451370239257812e+01,-7.121663570404052734e+00
-1.030934509277343807e+02,1.189451370239257955e+01,-7.121679306030273438e+00
-1.030934509277343807e+02,1.199451370239258097e+01,-7.122044086456298828e+00
-1.030934509277343807e+02,1.209451370239257884e+01,-7.121714115142822266e+00
-1.029934509277343722e+02,1.219451370239258026e+01,-7.120452880859375000e+00
-1.029934509277343722e+02,1.229451370239257812e+01,-7.120127201080322266e+00
-1.028934509277343778e+02,1.239451370239257955e+01,-7.120341300964355469e+00
-1.028934509277343778e+02,1.249451370239258097e+01,-7.120875358581542969e+00
-1.027934509277343693e+02,1.259451370239257884e+01,-7.119605541229248047e+00
-1.027934509277343693e+02,1.269451370239258026e+01,-7.120224952697753906e+00
-1.027934509277343693e+02,1.279451370239257812e+01,-7.121008396148681641e+00
-1.027934509277343693e+02,1.289451370239257955e+01,-7.121177673339843750e+00
-1.027934509277343693e+02,1.299451370239258097e+01,-7.121430397033691406e+00
-1.026934509277343750e+02,1.309451370239257884e+01,-7.119630336761474609e+00
-1.025934509277343807e+02,1.319451370239258026e+01,-7.118042469024658203e+00
-1.025934509277343807e+02,1.329451370239257812e+01,-7.117978572845458984e+00
-1.025934509277343807e+02,1.339451370239257955e+01,-7.118172168731689453e+00
-1.024934509277343722e+02,1.349451370239258097e+01,-7.117479324340820312e+00
-1.023934509277343778e+02,1.359451370239257884e+01,-7.116056919097900391e+00
-1.022934509277343693e+02,1.369451370239258026e+01,-7.115823745727539062e+00
-1.021934509277343750e+02,1.379451370239257812e+01,-7.115382194519042969e+00
-1.020934509277343807e+02,1.389451370239257955e+01,-7.114645481109619141e+00
-1.019934509277343722e+02,1.399451370239258097e+01,-7.113435268402099609e+00
-1.018934509277343778e+02,1.409451370239257884e+01,-7.112171649932861328e+00
-1.017934509277343693e+02,1.419451370239258026e+01,-7.111587524414062500e+00
-1.016934509277343750e+02,1.429451370239257812e+01,-7.111053466796875000e+00
-1.016934509277343750e+02,1.439451370239257955e+01,-7.111986160278320312e+00
-1.015934509277343807e+02,1.449451370239258097e+01,-7.112701892852783203e+00
-1.014934509277343722e+02,1.459451370239257884e+01,-7.114045143127441406e+00
